Date,Departure_Time,Length_in_Hours,Vessel,First_Name,Last_Name,Street,City,State,ZIP,Phone,Total_Passengers,Total_Cost
3/1/25,8:00,2,Sea Breeze,John,Smith,123 Oak St, Cityville, MA,01234,413-555-1234,5,$200.00 
3/1/25,9:00,3,Ocean Voyager,Emily,Clark,456 Pine St, Rivertown, MA,23456,978-555-5678,3,$600.00 
3/2/25,8:30,1.5,The Warrior,John,Smith,123 Oak St, Cityville, MA,01234,413-555-1234,5,$225.00 
3/2/25,10:00,2,Ocean Voyager,Emily,Clark,456 Pine St, Rivertown, MA,23456,978-555-5678,3,$400.00 
3/3/25,11:00,4,Ocean Voyager,Michael,Lee,789 Maple Ave, Beachside, MA,34567,978-555-8765,6,$800.00 
3/3/25,12:30,2.5,Sea Breeze,Sarah,Johnson,321 Elm St, Townsville, MA,45678,978-555-4321,4,$250.00 
3/4/25,7:45,3,Sea Breeze,Sarah,Johnson,321 Elm St, Townsville, MA,45678,978-555-4321,4,$300.00 
3/4/25,9:30,2,Ocean Voyager,Michael,Lee,789 Maple Ave, Beachside, MA,34567,978-555-8765,6,$400.00 
3/5/25,8:15,1,Sea Breeze,John,Smith,123 Oak St, Cityville, MA,01234,413-555-1234,5,$100.00 
3/5/25,11:30,3.5,Ocean Voyager,Emily,Clark,456 Pine St, Rivertown, MA,23456,978-555-5678,3,$700.00 
3/6/25,7:00,2,Sea Breeze,Jessica,Adams,654 Birch Rd, Seaside, MA,56789,978-555-8760,2,$200.00 
3/6/25,9:15,3,Ocean Voyager,William,Hall,789 Cedar St, Hilltop, MA,67890,978-555-9999,7,$600.00 
3/6/25,10:00,1.5,The Warrior,Jessica,Adams,654 Birch Rd, Seaside, MA,56789,978-555-8760,2,$225.00 
3/7/25,8:45,2,Ocean Voyager,Sarah,Johnson,321 Elm St, Townsville, MA,45678,978-555-4321,4,$400.00 
3/7/25,11:00,3.5,Sea Breeze,Emily,Clark,456 Pine St, Rivertown, MA,23456,978-555-5678,3,$350.00 
3/8/25,8:30,4,Ocean Voyager,John,Smith,123 Oak St, Cityville, MA,01234,413-555-1234,5,$800.00 
3/8/25,9:30,2,Sea Breeze,Michael,Lee,789 Maple Ave, Beachside, MA,34567,978-555-8765,6,$200.00 
3/8/25,12:00,2.5,The Warrior,William,Hall,789 Cedar St, Hilltop, MA,67890,978-555-9999,7,$375.00 
3/9/25,7:00,3,Sea Breeze,Sarah,Johnson,321 Elm St, Townsville, MA,45678,978-555-4321,4,$300.00 
3/9/25,9:30,1.5,Ocean Voyager,Emily,Clark,456 Pine St, Rivertown, MA,23456,978-555-5678,3,$300.00 
3/10/25,8:00,2,Sea Breeze,Jessica,Adams,654 Birch Rd, Seaside, MA,56789,978-555-8760,2,$200.00 
3/10/25,10:30,3,Ocean Voyager,Michael,Lee,789 Maple Ave, Beachside, MA,34567,978-555-8765,6,$600.00 
3/10/25,12:00,2.5,The Warrior,John,Smith,123 Oak St, Cityville, MA,01234,413-555-1234,5,$375.00 
3/11/25,7:15,1.5,Ocean Voyager,Sarah,Johnson,321 Elm St, Townsville, MA,45678,978-555-4321,4,$300.00 
3/11/25,9:30,2,Sea Breeze,Jessica,Adams,654 Birch Rd, Seaside, MA,56789,978-555-8760,2,$200.00 
3/12/25,8:45,3.5,Ocean Voyager,Michael,Lee,789 Maple Ave, Beachside, MA,34567,978-555-8765,6,$700.00 
3/12/25,10:00,2,Sea Breeze,William,Hall,789 Cedar St, Hilltop, MA,67890,978-555-9999,7,$200.00 
3/13/25,8:30,2,Sea Breeze,Emily,Clark,456 Pine St, Rivertown, MA,23456,978-555-5678,3,$200.00 
3/13/25,9:15,3,Ocean Voyager,John,Smith,123 Oak St, Cityville, MA,01234,413-555-1234,5,$600.00 
3/13/25,12:00,1.5,The Warrior,Sarah,Johnson,321 Elm St, Townsville, MA,45678,978-555-4321,4,$225.00 
3/14/25,7:00,3,Ocean Voyager,Michael,Lee,789 Maple Ave, Beachside, MA,34567,978-555-8765,6,$600.00 
3/14/25,9:30,2.5,Sea Breeze,Emily,Clark,456 Pine St, Rivertown, MA,23456,978-555-5678,3,$250.00 
3/15/25,8:15,1,Ocean Voyager,Jessica,Adams,654 Birch Rd, Seaside, MA,56789,978-555-8760,2,$200.00 
3/15/25,11:30,3.5,Sea Breeze,Sarah,Johnson,321 Elm St, Townsville, MA,45678,978-555-4321,4,$350.00 
3/16/25,8:00,2,Ocean Voyager,William,Hall,789 Cedar St, Hilltop, MA,67890,978-555-9999,7,$400.00 
